6552146982285083149_!_113_!_news_world_!_朝鲜5日零时起 启用新平壤时间 与韩国统一时区_!_朝鲜,时区,朝中社,金正恩,朝鲜半岛_!_4.0_!_1.0
6552479556672946691_!_112_!_news_travel_!_中国历史文化名镇、广西四大古镇之一大圩古镇走访记_!_公共厕所,大圩古镇,桂林市,灵川县,古镇_!_3.0_!_1.0
6552236533598913032_!_102_!_news_entertainment_!_范冰冰穿军装，刘亦菲穿军装，孙俪穿军装，看到最后一位笑喷了_!_刘亦菲,真人秀,范冰冰_!_0.0_!_1.0
6552374574208516621_!_110_!_news_military_!_印度是否徒有虚名：居然敢与中国叫嚣，印度全球军力排名第四名_!_运输机,印度,战斗机,C130,预警机,地对地导弹_!_8.0_!_1.0
6552241821492183566_!_103_!_news_sports_!_世乒赛中国男队战胜东道主瑞典杀进决赛_!_世乒赛,中国男队,瑞典,瑞典队,东道主_!_7.0_!_1.0
6552333627890336263_!_108_!_news_edu_!_青岛普高招生咨询会在2中分校举行 特色班仍受关注_!_咨询会,特色班,普通班,招生计划,副校长_!_0.0_!_1.0
6552476757864219139_!_102_!_news_entertainment_!_周扬青为追罗志祥不惜花长租五星酒店，只为男方得空能来见一面！_!_周扬青,罗志祥,小猪_!_1.0_!_1.0
6552357836041486851_!_115_!_news_agriculture_!_临沂又要征地啦！涉沂水、临沭、莒南……快看有没有你家！_!_会同县,临沭街道,山东省土地征收管理办法,行政复议,农村集体经济组织,沂水县,临沭县,中华人民共和国土地管理法_!_4.0_!_1.0
6552260472400249352_!_103_!_news_sports_!_恒大上港双双输球！山东鲁能泰山迎来登顶最好机会！_!_客场,墨尔本胜利,中超,恒大,山东鲁能泰山_!_7.0_!_1.0
6552487398545031693_!_104_!_news_finance_!_非农日美指冲高回落，非美货币迎反弹（周评）！_!_支撑,小阳线,美国,美元指数,操作_!_9.0_!_1.0
6552434554366329352_!_110_!_news_military_!_以色列帮越南魔改老坦克，59D都不如有啥用_!_坦克炮,越南,T54,T34,坦克,以色列_!_4.0_!_1.0
6552355016911356429_!_101_!_news_culture_!_《航拍济南》济南华山 正在打造一幅现代版《鹊华秋色图》_!_航拍,鹊华秋色图,大明湖,华不注山,济南_!_9.0_!_1.0
6552370278817595908_!_112_!_news_travel_!_登八排山，看广东最美草原_!_高速—,广东,八排山,船步镇,草原_!_9.0_!_1.0
6552494444631818755_!_101_!_news_culture_!_梁晓声、渡边淳一书房同时落户青岛 中日文学和作家相互交流_!_梁晓声书房,出版物,渡边淳一,书房,新华书店_!_1.0_!_1.0
6552311283494945287_!_113_!_news_world_!_特朗普失算了！美国想要逃出叙利亚，金蝉脱壳被识破！_!_叙利亚,伊拉克,阿拉伯联合酋长国,美国,伊拉克战争_!_8.0_!_1.0
6552336644161143309_!_109_!_news_tech_!_联想SIoT合作社正式成立，联想携百余家合作伙伴剑指智能物联领域_!_联想SIoT合作社,智慧联想,合作伙伴,云计算,物联网_!_6.0_!_1.0
6552295153845928461_!_107_!_news_car_!_起亚Telluride美翻了，比汉兰达大一圈，长五米采用七座布局！_!_起亚汽车,Telluride,SUV,索兰托,汉兰达,起亚_!_4.0_!_1.0
6552326309760991751_!_104_!_news_finance_!_2018年，巴菲特投资会，教你投资，中国房地产还有机遇吗？_!_房地产,中介,业务员,巴菲特,二手房_!_6.0_!_1.0
6502269061458559245_!_108_!_news_edu_!_江苏、浙江、上海哪个教育水平更高？_!_上海财经大学,标准分,重点线,浙江,原始分_!_9.0_!_1.0
6482156206809940238_!_107_!_news_car_!_A4L和宝马320LI怎么选？_!_C200L,宝马3系,A4L,A4,宝马_!_3.0_!_1.0
6514156484023025927_!_106_!_news_house_!_为什么广州与深圳GDP差不多，都为一线城市，深圳房价要高很多？_!_广州,深圳,公务员,含金量,本地人_!_6.0_!_1.0
